epoch,Binary Accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_Binary Accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.7013427019119263,0.7742005586624146,2527.0,2411.0,0.5717704892158508,0.7039175033569336,0.69403076171875,5864.0,5732.0,0.6443476676940918,0.7434659600257874,382.0,1578.0,0.6535736322402954,0.6014145016670227,0.8617444634437561,1170.0,2381.0
1,0.6992863416671753,0.7634637951850891,2495.0,2477.0,0.5806995630264282,0.6993932127952576,0.6978687047958374,5799.0,5763.0,0.6673924922943115,0.7561045289039612,1368.0,465.0,0.6197240352630615,0.75,0.5048859715461731,2283.0,1395.0
0,0.7231159806251526,0.796075701713562,2259.0,2319.0,0.5464261770248413,0.7212405204772949,0.7264801859855652,5956.0,6000.0,0.544910192489624,0.6929450035095215,85.0,2423.0,1.4722689390182495,0.525367259979248,0.9692808389663696,321.0,2682.0
1,0.9043183922767639,0.9560719132423401,747.0,835.0,0.26179683208465576,0.8999879956245422,0.9095751047134399,7438.0,7514.0,0.9292324185371399,0.9689143896102905,136.0,254.0,0.21036307513713837,0.9118667840957642,0.9507959485054016,2493.0,2628.0
0,0.9282690286636353,0.9712943434715271,588.0,598.0,0.20765148103237152,0.9276992082595825,0.9288221597671509,7675.0,7673.0,0.9232444167137146,0.9678839445114136,133.0,290.0,0.23220209777355194,0.9006509184837341,0.9518464803695679,2459.0,2629.0
1,0.9392766356468201,0.9779779314994812,445.0,559.0,0.17842179536819458,0.9332377910614014,0.9461193680763245,7716.0,7814.0,0.9341317415237427,0.9751374125480652,257.0,106.0,0.22183050215244293,0.9594180583953857,0.9069851636886597,2642.0,2506.0
2,0.9398209452629089,0.9800432920455933,420.0,575.0,0.1689070612192154,0.9316615462303162,0.9491463899612427,7700.0,7839.0,0.9357648491859436,0.975980281829834,195.0,159.0,0.187238410115242,0.9417795538902283,0.9295265674591064,2585.0,2572.0
3,0.947562575340271,0.9838827848434448,375.0,492.0,0.1510453224182129,0.9412607550621033,0.9545949697494507,7783.0,7884.0,0.9266920685768127,0.9708262085914612,52.0,352.0,0.2607840895652771,0.8850048780441284,0.9811662435531616,2398.0,2709.0
4,0.9526430368423462,0.9869257211685181,323.0,460.0,0.13503524661064148,0.945231556892395,0.9609053730964661,7812.0,7939.0,0.9324986338615417,0.9774682521820068,197.0,175.0,0.18797510862350464,0.9361779689788818,0.9287264943122864,2572.0,2567.0
